name,Average of FGA,Average of 3P%,Average of TRB,Average of BLK,Average of PTS
Cedi Osman,317.5,0.337,161.5,5,369
Cedric Bozeman,39,0.154,23,2,26
Cedric Ceballos,229,0.301,106,7,261
Cedric Henderson,146.5,0.3125,46.5,12.5,135.5
Cedric Jackson,20,0.167,8,2,20
Cedric Simmons,57,,47,10.66666667,54.33333333
Cezary Trybanski,12,,7.5,3.5,7.5
Chandler Hutchison,172,0.282,148,4,186
Chandler Parsons,553.5,0.3595,237.375,18.375,673.375
Channing Frye,508.2307692,0.354923077,306.2307692,41.38461538,594.8461538
Charles Cooke,14,0.125,2,0,6
Charles Jenkins,206,0.325,50,4,204
Charles Oakley,277.5,0.1955,299,16.25,261.75
Charles Smith,168,0.220666667,49.66666667,16.66666667,175.3333333
Charlie Bell,413,0.304285714,116.2857143,4.428571429,457.7142857
Charlie Villanueva,554.2727273,0.329363636,274.4545455,31.72727273,618.9090909
Charlie Ward,311.4,0.3612,129.2,9.2,346
Chase Budinger,395.1428571,0.344285714,177.1428571,9.285714286,456.8571429
Chasson Randle,80.5,0.3865,25,1.5,112
Chauncey Billups,719.1428571,0.385285714,190.8571429,10.57142857,1012.357143
Cheick Diallo,106.3333333,0,128.6666667,13.66666667,145.6666667
Cheikh Samb,18,0,15.5,6,11
Cherokee Parks,132.5,0.25,107.25,16.75,140.5
Chimezie Metu,42,0,26,2,44
Chinanu Onuaku,6,,7,0.5,9
Chris Andersen,167.4666667,0.142583333,232.8666667,66.06666667,250.3333333
Chris Babb,30,0.222,17,0,22
Chris Bosh,967.7692308,0.299846154,584,71.69230769,1322.230769
Chris Boucher,15,0.2355,9.5,6.5,20
Chris Carr,112,0.459,44,3,169
Chris Childs,217,0.248,120.3333333,7,220.6666667
Chris Copeland,214.5,0.357,68,7.5,249.5
Chris Crawford,199.75,0.24875,79.25,11,241
Chris Douglas-Roberts,218.1666667,0.227333333,78.66666667,9.166666667,261.8333333
Chris Dudley,41.33333333,0,88.33333333,14.33333333,40
Chris Duhon,382.2222222,0.355,151.5555556,4,438.4444444
Chris Garner,37,0,12,1,19
Chris Gatling,513,0.2145,298.5,19,593.5
Chris Herren,96,0.291,21,0,83
Chris Hunter,217,0,167,35,270
Chris Jefferies,133,0.369,44,11.5,140.5
Chris Johnson,103.4285714,0.31,61,11,122.1428571
Chris Kaman,540.2307692,0.027777778,429.3846154,71.61538462,631.3846154
Chris McCray,3,,0,0,0
Chris McCullough,61,0.216666667,37.33333333,6.333333333,64.66666667
Chris Mihm,341.375,0.10725,287.75,55.5,407.75
Chris Mills,241.3333333,0.312666667,111,7,256.6666667
Chris Mullin,106,0.365,41,10,115
Chris Owens,3,,1,0,4
Chris Paul,910.1428571,0.367285714,293,8,1221.142857
Chris Porter,445,0,189,6,440
Chris Quinn,159.3333333,0.2955,44.33333333,1.333333333,182
Chris Richard,58,,97,8,67.5
Chris Singleton,206.6666667,0.302666667,157.3333333,19,204
Chris Smith,0,,0,0,0
Chris Taft,38,,36,7,47
Chris Webber,992.375,0.25,506.125,58,1091.875
Chris Whitney,380,0.3825,85,3.25,448.25
Chris Wilcox,353.0909091,0,279.6363636,22.36363636,468.1818182
Chris Wright,27.33333333,0,21.66666667,6,40
Christian Eyenga,165.5,0.304,68.5,16.5,160
Christian Laettner,373.8,0.2124,306.2,30.8,461.6
Christian Wood,31,0.288,27.66666667,4.333333333,40.33333333
Chuck Hayes,191.2727273,0,294.8181818,21.54545455,219.0909091
Chucky Atkins,528.1,0.3459,106,3.3,608.1
Chucky Brown,61,0,43.5,5.5,61.5
CJ McCollum,951.6666667,0.390666667,195.5,21,1128.166667
Clarence Weatherspoon,376.6,0,436.2,42,464.6
Cleanthony Early,127,0.2645,61.5,7.5,120.5
Cliff Alexander,10,,6,2,10
Clifford Robinson,769.8571429,0.357285714,279.7142857,64.85714286,822.2857143
Clint Capela,432.8,0,477.2,78.8,631.4
Coby Karl,29,0.245,16,1.5,29
Cody Zeller,340.6666667,0.346666667,328.3333333,43.33333333,466.5
Cole Aldrich,103.125,,141.375,29.125,131.25
Collin Sexton,598,0.389,131,3,644
Corey Benjamin,172.5,0.2065,65.5,9,173.5
Corey Brewer,562.4545455,0.282909091,200.2727273,19.54545455,631
Corey Maggette,653.8461538,0.308769231,286.0769231,8.692307692,965.5384615
Corie Blount,233,0.083333333,312,22.75,241.75
Corliss Williamson,575.8571429,0.230333333,257.2857143,18.28571429,727.1428571
Corsley Edwards,31,,25,4,27
Cory Alexander,52.5,0.3355,27,0.5,50.5
Cory Higgins,89.5,0.2,19,3,82
Cory Jefferson,94.5,0.0665,80.5,11,102.5
Cory Joseph,374.25,0.316625,154.625,12.25,429.875
Coty Clarke,4,1,1,0,6
Courtney Alexander,517.3333333,0.327,136.3333333,6,563.3333333
Courtney Fortson,32,0.231,15,0,35
Courtney Lee,581.9090909,0.383090909,187.7272727,18.72727273,688.6363636
Courtney Sims,3.5,,3,0,3
Craig Brackins,24.5,0.1665,9.5,0.5,15
Craig Smith,367.8333333,0.033333333,261.1666667,15.16666667,513.3333333
Cristiano Felicio,142.25,0,181.75,10.75,203.5
Curtis Borchardt,114,0,139,23,129
Cuttino Mobley,950.8888889,0.375,278.1111111,28.66666667,1133.333333
D.J. Augustin,536.0909091,0.381,128,2.272727273,677.8181818
D.J. Kennedy,12,0.5,7,0,12
D.J. Mbenga,54.71428571,0,50.14285714,20.14285714,59.14285714
D.J. Stephens,4.5,,2.5,0,4.5
D.J. Strawberry,92,0.24,28,6,73
D.J. White,114.5,0.5,72.83333333,9.5,135
D.J. Wilson,43.5,0.426,43,4.5,56.5
Daequan Cook,342.6666667,0.348333333,117.1666667,8,352.3333333
Dahntay Jones,210.6923077,0.280307692,83.23076923,11.07692308,257.9230769
DaJuan Summers,67,0.366333333,20.5,2,69.5
Dajuan Wagner,241.75,0.467,35.5,3.5,241
Dakari Johnson,39,,34,8,55
Dale Davis,302.5714286,0,403,57,375
Dalibor Bagaric,89.66666667,0,79.33333333,14.33333333,83.66666667
Damian Jones,37.33333333,,37.33333333,10.66666667,58
Damian Lillard,1313.428571,0.369714286,302.8571429,22.85714286,1716
Damien Inglis,37,0.231,31,3,36
Damien Wilkins,315.7,0.2983,136.2,13,360.4
Damion James,36.75,0,32.75,5,37.5
Damion Lee,105,0.3345,50,0.5,119.5
Damir Markota,52,0.375,31,1,51
Damjan Rudez,137.6666667,0.353,30.66666667,2.333333333,160
Damon Jones,378.1111111,0.384666667,108.3333333,2.111111111,440.8888889
Damon Stoudamire,689,0.35825,215,4.625,746
Damone Brown,32,0.121333333,13,1.75,27
Damyean Dotson,224,0.3455,104.5,3,254
Dan Dickau,252.8333333,0.356,67.5,1.833333333,290.8333333
Dan Gadzuric,210,0,232.6,44.8,246.5
Dan Langhi,110,0.26,49.75,3,98.25
Dan Majerle,274,0.3255,171,15,283.5
Dan McClintock,18,,17,2,18
Dana Barros,202.3333333,0.3785,50.33333333,1.333333333,225.6666667
D'Angelo Russell,810.5,0.34775,212.75,14.75,900.75
Daniel Ewing,208,0.3,79,5,215.5
Daniel Gibson,378,0.408714286,113.1428571,12.28571429,445
Daniel Hamilton,30,0.3665,22,0.5,30.5
Daniel Ochefu,27,,22,0,24
Daniel Orton,34.33333333,0,42,9.333333333,47.66666667
Daniel Santiago,81.5,,65,11.75,104.25
Daniel Theis,197,0.3425,207,34,278
Danilo Gallinari,585.1,0.3763,250.7,22.4,820
Danny Ferry,225.3333333,0.411,129.3333333,13,265.3333333
Danny Fortson,181.7142857,0.083333333,255.5714286,5.285714286,261.4285714
Danny Granger,767.2,0.3534,288.8,48.1,985.5
Danny Green,437.1,0.3823,203.4,49,516.8
Danny Manning,227,0.256,113.3333333,17.66666667,267.3333333
Dante Cunningham,374.2,0.1721,264.7,33.5,408.9
Dante Exum,275,0.298,88.5,8.5,301.75
Danuel House,94.66666667,0.3245,55.33333333,5.333333333,126
Darington Hobson,13,0,3,0,4
Dario Saric,732,0.347,426,18.66666667,877.3333333
Darius Johnson-Odom,5.5,0,3,0,0
Darius Miles,567.5714286,0.157285714,312.8571429,70.71428571,643.8571429
Darius Miller,198,0.3038,71.2,10.6,246.2
Darius Morris,108,0.334,31.5,0.5,107.5
Darius Songaila,363,0.0945,211.125,13.25,426.875
Darius Washington,48,0.333,20,0,53
Darko Milicic,260.2,0,197.1,61.3,281.3
Darnell Jackson,91.33333333,0.174333333,67.66666667,3.666666667,102.6666667
Darrell Armstrong,512.625,0.313125,197.625,8.875,598.375
Darrell Arthur,345.5555556,0.230555556,196.4444444,34.11111111,364.6666667
Darren Collison,659.3,0.3857,177,10.4,838.6
Darrick Martin,62.42857143,0.272,10.42857143,0.142857143,60.57142857
Darrun Hilliard,92,0.213666667,28.33333333,1,98.33333333
Darryl Watkins,14.5,,19.5,3,17.5
Darvin Ham,112.4,0.3275,120.8,18.4,146.8
Daryl Macon,0,,0,0,0
David Andersen,230.5,0.347,146,10.5,250.5
David Benoit,147,0.385,81,6,178
David Harrison,176.5,,137.25,46.25,237.25
David Lee,713.8333333,0.037,610,27.41666667,936
David Noel,177,0.321,123,9,184
David Nwaba,201,0.267666667,149,14.33333333,266.6666667
David Robinson,638.3333333,0,615.3333333,149.3333333,882.6666667
David Stockton,4.5,0.5835,1,0,9
David Vanterpool,110,0,37,3,122
David Wear,2,0,2,0,0
David Wesley,780.2857143,0.347428571,159.5714286,10.42857143,879.4285714
David West,767.9333333,0.268866667,439.3333333,56.66666667,935.6
David Wingate,3,,0,0,6
Davis Bertans,272,0.414,130,24.66666667,356.6666667
Davon Reed,38.5,0.289,19.5,1,31.5
De'Aaron Fox,697,0.3415,180,22,815.5
Dean Garrett,105.5,,137,29.5,106.5
Dean Oliver,37.5,0.1605,12,0,32
Deandre Ayton,552,0,477,43,745
DeAndre' Bembry,194,0.247,108.3333333,14,209.3333333
DeAndre Jordan,411.4545455,0.041666667,780.8181818,120.1818182,686.0909091
DeAndre Liggins,64.2,0.274,50.4,6.2,69.2
De'Anthony Melton,176,0.324,77,15,166
Dee Brown,52.75,0.241,22.25,2,48.75
Dejounte Murray,362.5,0.328,250.5,18.5,392
DeJuan Blair,338.7142857,0,307.5714286,18.14285714,409.2857143
Dell Curry,364.5,0.386,83,7,394.5
Delon Wright,217.25,0.3565,97,14.75,269.5
Delonte West,446.375,0.363375,158.125,22.375,524.75
DeMar DeRozan,1134.3,0.2568,301.6,20.7,1428.1
DeMarcus Cousins,1115.5,0.22375,735.5,81.625,1439.75
DeMarcus Nelson,54,0,24,2,53
DeMarre Carroll,384,0.317222222,221.8,14,466.9
Demetris Nichols,16,0.1155,3.5,2,11
Demetrius Jackson,12.33333333,0.492,6.333333333,0.333333333,16
Deng Gai,0,,0,0,0
Dennis Horner,4,0,5,0,5
Dennis Schroder,766,0.310166667,172.8333333,7,865.5
Dennis Smith Jr.,661,0.344,166.5,14,700
Denzel Valentine,504.5,0.3685,272,9,537
Deonte Burton,46,0.308,16,5,49
DeQuan Jones,218,0.257,105,22,233
Derek Anderson,520.25,0.35375,179.25,7.375,637.25
Derek Fisher,567.3571429,0.371785714,152.4285714,6,653.0714286
Derek Strong,117,0,108,1,118
DerMarr Johnson,267.4285714,0.328714286,109.8571429,21.28571429,303
Deron Williams,913.6666667,0.35825,218.25,17.16666667,1150.333333
Derrick Brown,229,0.345333333,137.6666667,10.66666667,298.3333333
Derrick Byars,11,0,11,0,10
Derrick Caracter,66,,43,10,81
Derrick Coleman,352.2,0.2558,270,33.4,406.8
Derrick Dial,77,0.171,35.66666667,3.333333333,71
Derrick Favors,595.7777778,0.133428571,477.6666667,84.77777778,768.1111111
Derrick Jones Jr.,115.6666667,0.267333333,84.66666667,16,152.3333333
Derrick McKey,129,0.3085,151.5,8.5,132
Derrick Rose,858.5,0.2964,186.4,18.6,998.9
Derrick Walton,25,0.412,16,3,29
Derrick White,142.5,0.479,69.5,10,184
Derrick Williams,437.7142857,0.254142857,241.8571429,15.42857143,544.1428571
Derrick Zimmerman,3,,4,0,4
DeSagana Diop,98.08333333,0.125,184.9166667,52.5,98.75
DeShawn Stevenson,424.2307692,0.274692308,140.9230769,10.30769231,456.1538462
Desmon Farmer,14.5,0.25,3.5,0,13
Desmond Ferguson,12,0.375,4,0,13
Desmond Mason,653.5,0.193571429,286.3,23,776.7
Desmond Penigar,28,,24,2,32
Detlef Schrempf,95,0.375,78,3,104
DeVaughn Akoon-Purcell,10,0,4,0,7
Devean George,321.6,0.3343,190,22.6,338.1
Devin Booker,991.5,0.35225,200,15.25,1224.5
Devin Brown,365.875,0.287125,161,7.25,419
Devin Ebanks,71,0.224333333,40.66666667,4,74.66666667
Devin Green,28,0,24,0,25
Devin Harris,525.6666667,0.315,139.3333333,12.33333333,691.2
Devin Robinson,8,,6,0.5,10.5
Devonte' Graham,96,0.353,28,0,105
Devyn Marble,57.5,0.216,34.5,1.5,48.5
Dewayne Dedmon,238,0.238333333,315.3333333,44,317.6666667
Dexter Pittman,27.25,,22.25,2,29
Deyonta Davis,156,,155,28,209
Diamond Stone,13,,6,1,10
Diante Garrett,157,0.2875,56,2.5,144
Dickey Simpkins,0,,0,0,0
Dijon Thompson,20,0.182,9.5,0.5,22.5
Dikembe Mutombo,242.3333333,,435.5555556,94,336.1111111
Dillon Brooks,447,0.3655,144,10.5,516.5
Dion Glover,410.2,0.2682,171.8,12.2,442.4
Dion Waiters,653,0.334,139.7142857,14,700.2857143
Dionte Christmas,62,0.29,38,3,71
Dirk Nowitzki,1156.210526,0.379473684,561.3157895,61.73684211,1548.368421
Domantas Sabonis,512.3333333,0.462,418.6666667,28.33333333,654
Dominic McGuire,154.5,0.16675,194.8333333,30.66666667,156.5
Dominique Jones,75.66666667,0.078666667,38,3.333333333,82
Don MacLean,20,1,18,1,31
Don Reid,112.6666667,,139.3333333,32.66666667,145
Donald Sloan,219.6,0.2766,91,1.6,237.8
