Birth City,Number of Games,Total Points,Three Points,Field Goals,Total Rebounds
Claremont,93,3.3,0.379,0.37799999999999995,83.0
Clarksburg,90,3.4,0.27699999999999997,0.392,77.0
Clarksdale,140,4.6,0.16699999999999998,0.371,492.0
Clarksville,1797,8.05,0.2595,0.455,4082.5
Clayton,201,3.6,0.33299999999999996,0.524,819.0
Clearwater,38,1.7,,0.5,53.0
Cleveland,5337,5.805263157894737,0.23800000000000002,0.40936842105263155,1384.6842105263158
Cleveland Heights,604,10.9,0.335,0.423,1653.0
Clinton,530,3.0,0.297,0.467,1979.0
Clovis,4,2.0,0.5,0.6,2.0
Coatesville,921,17.1,0.34600000000000003,0.449,2852.0
Cocoa,471,7.1,0.349,0.424,1987.0
Coeur d'Alene,830,9.3,0.349,0.431,1877.0
College Park,1,0.0,,,0.0
Collins,241,5.2,0.272,0.425,551.0
Collinston,18,2.3,0.3,0.298,18.0
Colorado Springs,965,4.8,0.271,0.45299999999999996,3991.0
Colton,6,5.2,0.5,0.444,15.0
Columbia,4500,10.142857142857144,0.19157142857142856,0.4588571428571429,3525.8571428571427
Columbus,6979,7.299999999999999,0.20687500000000003,0.41464705882352937,1749.7058823529412
Compton,1793,5.0375,0.23285714285714285,0.35987500000000006,786.125
Concord,792,5.8,0.414,0.46399999999999997,2371.0
Copaigue,646,7.35,0.1895,0.43100000000000005,718.5
Coral Gables,605,5.65,0.19699999999999998,0.461,1215.0
Corsicana,105,2.7,0.375,0.616,175.0
Cortez,155,1.6,,0.43799999999999994,239.0
Cortlandt Manor,1058,15.9,0.095,0.5,9040.0
Costa Mesa,8,2.0,0.067,0.26899999999999996,9.0
Cottage Grove,68,4.2,0.36,0.511,80.0
Cotton Plant,418,9.9,0.20600000000000002,0.46799999999999997,820.0
Covington,1711,6.733333333333333,0.27899999999999997,0.39766666666666667,1331.0
Crenshaw,733,11.2,0.418,0.457,2402.0
Crockett,243,5.1,0.37200000000000005,0.392,463.0
Crossett,249,3.5,0.231,0.568,640.0
Crossnore,446,9.4,0.0,0.445,2794.0
Culpepper,164,6.6,0.374,0.436,248.0
Cupertino,880,5.2,0.0,0.534,4961.0
Dallas,11248,6.58,0.22415384615384618,0.4530333333333335,1771.8333333333333
Dalton,38,3.1,0.292,0.381,46.0
Danville,2036,7.324999999999999,0.18675000000000003,0.43925000000000003,1889.25
Dawson,13,1.4,,0.278,14.0
Dayton,3160,6.766666666666667,0.29687499999999994,0.4236666666666667,996.2222222222222
Daytona,2,2.5,0.5,0.4,3.0
Daytona Beach,2086,7.3,0.24333333333333332,0.41933333333333334,2793.0
DeQuincy,8,2.1,,0.444,8.0
Decatur,553,7.95,0.293,0.391,922.5
Deer Lodge,807,6.7,0.0,0.45299999999999996,3454.0
Dekalb,8,1.0,,0.19,22.0
Del Rio,142,2.0,0.253,0.436,110.0
Demopolis,810,7.2,0.0,0.496,4596.0
Denton,82,3.05,0.33299999999999996,0.47300000000000003,98.5
Denver,2016,5.819999999999999,0.21200000000000002,0.433,1062.6
Des Moines,1518,6.333333333333333,0.27499999999999997,0.459,1116.3333333333333
Detroit,18072,7.331999999999998,0.19113043478260874,0.43440000000000006,1686.92
Dobbs Ferry,605,8.2,0.359,0.504,2784.0
Dothan,136,5.3,0.282,0.428,186.0
Dover,18,2.0,0.25,0.28600000000000003,11.0
Dresden,535,7.0,0.281,0.447,3981.0
Dublin,595,8.8,0.077,0.484,2988.0
Dubuque,555,8.3,,0.47600000000000003,4031.0
Dumfries,160,5.0,0.37,0.39899999999999997,253.0
Durango,2,0.0,0.0,0.0,0.0
Durham,1999,6.074999999999999,0.276,0.42300000000000004,1801.75
East Chicago,849,13.6,0.244,0.475,2995.0
East Orange,131,3.4,0.316,0.4425,108.5
East Peoria,345,8.7,0.253,0.47,702.0
East Point,54,1.6,0.25,0.37200000000000005,50.0
East Spencer,755,9.7,0.354,0.41700000000000004,2347.0
East St. Louis,628,6.95,0.302,0.4135,2021.5
Eau Claire,10,1.0,,0.7140000000000001,16.0
Edina,127,2.6,0.154,0.44299999999999995,160.0
Edison,110,24.4,0.335,0.523,1175.0
Edmond,341,9.450000000000001,0.19649999999999998,0.4255,513.5
Edmonds,580,8.7,0.382,0.418,1811.0
El Dorado,247,5.8,0.321,0.41100000000000003,560.0
El Paso,4,1.3,,0.667,4.0
Elberton,1199,13.3,0.354,0.46299999999999997,2884.0
Elgin,543,14.5,0.267,0.456,1372.0
Elizabeth,1781,9.8,0.2615,0.47124999999999995,2668.75
Elizabeth City,260,4.8,0.0,0.511,693.0
Elkhart,1077,8.8,0.403,0.5025,4442.0
Ellensburg,747,4.7,0.295,0.505,5261.0
Elm City,102,3.2,0.316,0.46799999999999997,149.0
Elmhurst,1077,14.5,0.40299999999999997,0.496,3646.0
Elmira,729,8.1,0.12,0.483,2913.0
