Player Name,Years Played,Birth City,Birth State,Birth Country,Playing City,Seasons Played,Games Played,Minutes Played,Field Goals %,3 Points %,Total Rebounds,Total Points
Hilton Armstrong,6,Peekskill,New York,USA,Golden State,5,292,3378,0.501,0.286,766,3
Renaldo Balkman,6,Staten Island,New York,USA,,6,221,3064,0.51,0.172,769,4
Erick Barkley,2,Queens,New York,USA,San Antonio,2,27,266,0.356,0.267,21,2.9
Andre Barrett,4,Bronx,New York, ,,4,67,819,0.369,0.246,71,3.3
Brent Barry,14,Hempstead,New York,USA,Houston,14,912,23643,0.46,0.405,2780,9.3
Eddie Basden,1,New York,New York,USA,Chicago,1,19,141,0.405,0.143,28,2.1
Ron Behagen,7,New York,New York,USA,Washington,6,388,9131,0.425,,2712,10.3
Walter Berry,3,New York,New York,USA,Houston,2,205,4863,0.539,0.2,971,14.1
Joe Binion,1,Rochester,New York,USA,Portland,0,11,51,0.4,,18,1.3
James Blackwell,1,Mount Kisco,New York,USA,Boston,0,13,80,0.615,,11,1.4
Andray Blatche,9,Syracuse,New York,USA,Brooklyn,8,564,12462,0.467,0.237,3024,10.1
Mark Blount,9,Dobbs Ferry,New York,USA,Miami,9,605,13981,0.504,0.359,2784,8.2
Curtis Borchardt,2,Buffalo,New York,USA,Utah,2,83,1117,0.421,0,278,3.1
Elton Brand,17,Cortlandt Manor,New York,USA,Philadelphia,17,1058,34910,0.5,0.095,9040,15.9
Frank Brickowski,12,Bayville,New York,USA,,11,731,16278,0.519,0.324,3410,10
Chucky Brown,13,New York,New York,USA,Sacramento,12,694,11962,0.491,0.227,2148,5.9
Damone Brown,4,Buffalo,New York,USA,,4,39,351,0.336,0.286,52,2.8
Ernest Brown,1,Bronx,New York,USA,Boston,1,3,21,0.167,,6,1
Rick Brunson,9,Syracuse,New York,USA,Houston,8,337,4533,0.378,0.362,447,3.2
Steve Burtt,4,New York,New York,USA,Washington,3,101,1121,0.426,0.143,92,5.8
Marty Byrnes,4,Syracuse,New York,USA,Indiana,3,263,4254,0.463,0.326,586,5.7
Rick Carlisle,5,Ogdensburg,New York,USA,New Jersey,4,188,1461,0.422,0.229,141,2.2
Reggie Carter,2,New York,New York,USA,New York,1,135,1459,0.388,0,164,3.5
Duane Causwell,11,Queens Village,New York,USA,San Antonio,11,541,9409,0.507,0.286,2273,4.9
Lionel Chalmers,1,Albany,New York,USA,Los Angeles,1,36,433,0.336,0.245,31,3.1
Lorenzo Charles,1,Brooklyn,New York,USA,Atlanta,0,36,273,0.557,,39,3.4
Derrick Chievous,3,New York,New York,USA,Cleveland,2,154,2240,0.443,0.242,364,7.1
Speedy Claxton,7,Queens,New York,USA,Atlanta,7,334,8548,0.409,0.193,830,9.3
Marty Conlon,9,Bronx,New York,USA,,8,379,6316,0.498,0.2,1310,6.5
Omar Cook,2,Brooklyn,New York,USA,Toronto,2,22,213,0.333,0,13,1.7
Charlie Criss,8,Valhalla,New York,USA,Atlanta,7,418,8960,0.432,0.179,592,8.5
Lloyd Daniels,5,Brooklyn,New York,USA,,4,200,3549,0.403,0.316,440,7.1
Terry Dehere,6,New York,New York,USA,Vancouver,5,402,7305,0.411,0.378,588,8
Ike Diogu,6,Buffalo,New York,USA,,6,225,2795,0.509,0.5,689,6
Billy Donovan,1,Rockville Centre,New York,USA,New York,0,44,364,0.404,0,25,2.4
Quincy Douby,3,Brooklyn,New York,USA,Toronto,3,143,1535,0.389,0.312,152,4.1
Mike Dunleavy,11,Brooklyn,New York,USA,Milwaukee,10,438,8428,0.467,0.339,689,8
Cleanthony Early,2,Middletown,New York,USA,New York,2,56,801,0.346,0.263,123,4.3
Devin Ebanks,3,Queens,New York,USA,Los Angeles,3,63,711,0.385,0.222,122,3.6
Franklin Edwards,7,New York,New York,USA,Sacramento,6,296,4436,0.449,0.03,300,6.1
Mario Elie,11,New York,New York,USA,Phoenix,10,732,18654,0.473,0.365,2017,8.6
Vern Fleming,12,New York,New York,USA,New Jersey,11,893,24721,0.498,0.181,3012,11.3
Bruce Flowers,1,Rochester,New York,USA,Cleveland,0,53,699,0.534,0,180,4.9
Jonny Flynn,3,Niagara Falls,New York,USA,Portland,3,163,3738,0.4,0.338,307,9.2
Jeff Foote,1,Lockwood,New York,USA,,0,4,39,0.333,,6,1
Sundiata Gaines,3,Jamaica,New York,USA,New Jersey,3,113,1311,0.397,0.301,175,4.5
Butch Graves,1,Scarsdale,New York,USA,Cleveland,0,4,11,0.333,0,2,1.3
Sidney Green,10,Brooklyn,New York,USA,Charlotte,9,679,13247,0.454,0.037,4128,7.5
Tom Gugliotta,13,Huntington Station,New York,USA,Atlanta,13,763,23556,0.451,0.284,5589,13
Zendon Hamilton,6,Floral Park,New York,USA,,5,134,1560,0.44,,464,4.4
Lazar Hayward,3,Buffalo,New York,USA,,3,72,591,0.347,0.269,90,2.9
Brendan Haywood,13,New York,New York,USA,Cleveland,12,816,18680,0.528,0,4875,6.8
Armond Hill,8,Brooklyn,New York,USA,Atlanta,7,468,11785,0.408,0.077,917,6.9
Julius Hodge,2,New York,New York,USA,,2,23,98,0.44,,15,1.2
Geoff Huston,8,Brooklyn,New York,USA,Los Angeles,7,496,12252,0.483,0.254,684,8.8
Marc Iavaroni,7,Jamaica,New York,USA,Utah,6,531,8371,0.459,0,1725,4.4
Royal Ivey,10,Harlem,New York,USA,,9,492,6162,0.406,0.361,557,3.3
Mark Jackson,17,Brooklyn,New York,USA,Houston,17,1296,39121,0.447,0.332,4963,9.6
Mike James,12,Copaigue,New York, ,Chicago,11,595,14364,0.417,0.379,1324,9.9
Charles Jenkins,2,Brooklyn,New York,USA,Philadelphia,2,110,1334,0.434,0.182,100,3.7
Eric Johnson,1,Brooklyn,New York,USA,Utah,0,48,272,0.238,0.167,28,1.1
George Johnson,8,Brooklyn,New York,USA,Washington,7,464,9878,0.463,0.189,2610,9.1
Vinnie Johnson,13,Brooklyn,New York,USA,San Antonio,12,984,24308,0.464,0.254,3109,12
Kevin Jones,1,Mount Vernon,New York,USA,Cleveland,1,32,334,0.402,,78,3
Mark Jones,1,Rochester,New York,USA,,0,6,16,0.5,0,2,1.2
Shelton Jones,1,Copaigue,New York,USA,Philadelphia,1,51,682,0.445,0,113,4.8
Adonis Jordan,2,Brooklyn,New York,USA,,1,10,97,0.296,0.25,6,2.1
Michael Jordan,15,Brooklyn,New York,USA,Washington,14,1072,41011,0.497,0.327,6672,30.1
Tim Kempton,8,Jamaica,New York,USA,,7,280,3758,0.481,0,795,4.5
Irv Kiffin,1,New York,New York,USA,San Antonio,0,26,212,0.333,,40,3.2
Albert King,9,Brooklyn,New York,USA,Washington,8,534,12836,0.461,0.268,2262,12.1
Bernard King,14,Brooklyn,New York,USA,New Jersey,13,874,29417,0.518,0.172,5060,22.5
Toby Knight,4,Bronx,New York,USA,New York,3,283,7331,0.519,0,1444,12.9
Mitch Kupchak,9,Hicksville,New York,USA,Los Angeles,8,510,9905,0.523,0,2730,10.2
Christian Laettner,13,Angola,New York,USA,Miami,13,868,25760,0.48,0.261,5806,12.8
Doron Lamb,2,Queens,New York,USA,Orlando,1,100,1272,0.381,0.394,95,3.5
Bob Lanier,14,Buffalo,New York,USA,Milwaukee,13,959,32103,0.514,0.154,9698,20.1
Art Long,3,Rochester,New York,USA,Philadelphia,3,98,1220,0.458,0.667,319,3.5
Ollie Mack,3,New York,New York,USA,Dallas,2,128,2513,0.458,0,319,7.2
Stephon Marbury,13,Brooklyn,New York,USA,Boston,13,846,31891,0.433,0.325,2516,19.3
Jamal Mashburn,11,New York,New York,USA,New Orleans,11,611,22762,0.418,0.345,3271,19.1
Rodney Mccray,10,Mount Vernon,New York,USA,Chicago,9,768,24876,0.503,0.26,5087,11.7
Scooter Mccray,3,Mount Vernon,New York,USA,Cleveland,2,77,892,0.423,,190,2.9
Tom Mcmillen,11,Elmira,New York,USA,Washington,10,729,14770,0.483,0.12,2913,8.1
Eric Mobley,3,Bronx,New York,USA,,2,113,1570,0.541,0.75,351,3.9
Ron Moore,1,New York,New York,USA,Phoenix,0,14,59,0.31,,8,1.7
John Morton,3,Bronx,New York,USA,Miami,2,128,1879,0.386,0.224,161,4.8
Arnett Moultrie,2,Queens,New York,USA,Philadelphia,1,59,729,0.547,,180,3.6
Chris Mullin,16,New York,New York,USA,,15,986,32163,0.509,0.384,4034,18.2
Ruben Nembhard,1,Bronx,New York,USA,,0,10,113,0.432,0,8,4
Dan O'Sullivan,4,Bronx,New York,USA,Toronto,3,45,297,0.397,0,65,1.8
Greg Oden,3,Buffalo,New York,USA,Miami,3,105,2028,0.574,,656,8
Lamar Odom,14,Jamaica,New York,USA,New York,14,961,32131,0.463,0.312,8059,13.3
Walter Palmer,2,Ithaca,New York,USA,Dallas,1,48,209,0.412,0,65,2.1
Smush Parker,5,New York,New York,USA,Los Angeles,5,274,7069,0.426,0.345,659,9
Sam Perkins,17,Brooklyn,New York,USA,Indiana,16,1286,36598,0.459,0.362,7666,11.9
Derrick Phelps,1,Queens,New York,USA,Sacramento,0,3,5,0,,0,0
Ed Pinckney,12,Bronx,New York,USA,Miami,11,793,15698,0.535,0,3952,6.8
Harold Pressley,4,Bronx,New York,USA,Sacramento,3,299,6802,0.437,0.358,1339,9
Andy Rautins,1,Syracuse,New York,USA,New York,1,5,24,0.429,0.25,1,1.6
Allan Ray,1,Bronx,New York,USA,,1,47,710,0.386,0.414,69,6.2
Khalid Reeves,6,Queens,New York,USA,,5,277,5837,0.416,0.363,580,7.8
Billy Reid,1,New York,New York,USA,Golden State,0,59,597,0.454,0,60,3.2
Terrence Rencher,1,Bronx,New York,USA,,0,36,405,0.33,0.31,44,2.9
Jerry Reynolds,8,Brooklyn,New York,USA,Milwaukee,7,443,8379,0.418,0.226,1317,9.1
Clifford Robinson,18,Buffalo,New York,USA,New Jersey,17,1380,42561,0.438,0.356,6306,14.2
Jamal Robinson,1,Jamaica,New York,USA,,0,6,72,0.136,0,11,1
Sean Rooks,12,New York,New York,USA,Orlando,12,749,13560,0.459,0.091,2877,6.2
